"Step","baseline_iwslt14 - train_inner/gnorm","baseline_iwslt14 - train_inner/gnorm__MIN","baseline_iwslt14 - train_inner/gnorm__MAX"
"40800","0.353","0.353","0.353"
"40900","0.316","0.316","0.316"
"41000","0.351","0.351","0.351"
"41100","0.332","0.332","0.332"
"41200","0.332","0.332","0.332"
"41300","0.325","0.325","0.325"
"41400","0.363","0.363","0.363"
"41500","0.336","0.336","0.336"
"41600","0.364","0.364","0.364"
"41700","0.344","0.344","0.344"
"41800","0.333","0.333","0.333"
"41900","0.342","0.342","0.342"
"42000","0.327","0.327","0.327"
"42100","0.349","0.349","0.349"
"42200","0.331","0.331","0.331"
"42300","0.345","0.345","0.345"
"42400","0.335","0.335","0.335"
"42500","0.354","0.354","0.354"
"42600","0.332","0.332","0.332"
"42700","0.34","0.34","0.34"
"42800","0.345","0.345","0.345"
"42900","0.409","0.409","0.409"
"43000","0.333","0.333","0.333"
"43100","0.372","0.372","0.372"
"43200","0.339","0.339","0.339"
"43300","0.337","0.337","0.337"
"43400","0.343","0.343","0.343"
"43500","0.328","0.328","0.328"
"43600","0.326","0.326","0.326"
"43700","0.337","0.337","0.337"
"43800","0.353","0.353","0.353"
"43900","0.357","0.357","0.357"
"44000","0.336","0.336","0.336"
"44100","0.337","0.337","0.337"
"44200","0.34","0.34","0.34"
"44300","0.339","0.339","0.339"
"44400","0.39","0.39","0.39"
"44500","0.343","0.343","0.343"
"44600","0.337","0.337","0.337"
"44700","0.349","0.349","0.349"
"44800","0.36","0.36","0.36"
"44900","0.347","0.347","0.347"
"45000","0.323","0.323","0.323"
"45100","0.35","0.35","0.35"
"45200","0.329","0.329","0.329"
"45300","0.33","0.33","0.33"
"45400","0.346","0.346","0.346"
"45500","0.337","0.337","0.337"
"45600","0.358","0.358","0.358"
"45700","0.352","0.352","0.352"
"45800","0.342","0.342","0.342"
"45900","0.331","0.331","0.331"
"46000","0.35","0.35","0.35"
"46100","0.354","0.354","0.354"
