"Step","baseline_roberta - train_inner/gnorm","baseline_roberta - train_inner/gnorm__MIN","baseline_roberta - train_inner/gnorm__MAX"
"5147","0.391","0.391","0.391"
"5148","0.395","0.395","0.395"
"5149","0.355","0.355","0.355"
"5150","0.36","0.36","0.36"
"5151","0.351","0.351","0.351"
"5152","0.366","0.366","0.366"
"5153","0.366","0.366","0.366"
"5154","0.399","0.399","0.399"
"5155","0.389","0.389","0.389"
"5156","0.339","0.339","0.339"
"5157","0.331","0.331","0.331"
"5158","0.341","0.341","0.341"
"5159","0.334","0.334","0.334"
"5160","0.347","0.347","0.347"
"5161","0.363","0.363","0.363"
"5162","0.383","0.383","0.383"
"5163","0.399","0.399","0.399"
"5164","0.369","0.369","0.369"
"5165","0.35","0.35","0.35"
"5166","0.364","0.364","0.364"
"5167","0.364","0.364","0.364"
"5168","0.36","0.36","0.36"
"5169","0.394","0.394","0.394"
"5170","0.408","0.408","0.408"
"5171","0.429","0.429","0.429"
"5172","0.429","0.429","0.429"
"5173","0.398","0.398","0.398"
"5174","0.376","0.376","0.376"
"5175","0.365","0.365","0.365"
"5176","0.354","0.354","0.354"
"5177","0.387","0.387","0.387"
"5178","0.357","0.357","0.357"
"5179","0.366","0.366","0.366"
"5180","0.341","0.341","0.341"
"5181","0.352","0.352","0.352"
"5182","0.354","0.354","0.354"
"5183","0.346","0.346","0.346"
"5184","0.335","0.335","0.335"
"5185","0.339","0.339","0.339"
"5186","0.33","0.33","0.33"
"5187","0.34","0.34","0.34"
"5188","0.327","0.327","0.327"
"5189","0.359","0.359","0.359"
"5190","0.346","0.346","0.346"
"5191","0.339","0.339","0.339"
"5192","0.341","0.341","0.341"
"5193","0.366","0.366","0.366"
"5194","0.354","0.354","0.354"
"5195","0.326","0.326","0.326"
"5196","0.382","0.382","0.382"
"5197","0.384","0.384","0.384"
"5198","0.406","0.406","0.406"
"5199","0.37","0.37","0.37"
"5200","0.346","0.346","0.346"
"5201","0.359","0.359","0.359"
"5202","0.354","0.354","0.354"
"5203","0.357","0.357","0.357"
"5204","0.366","0.366","0.366"
"5205","0.364","0.364","0.364"
"5206","0.332","0.332","0.332"
"5207","0.358","0.358","0.358"
"5208","0.342","0.342","0.342"
"5209","0.332","0.332","0.332"
"5210","0.324","0.324","0.324"
"5211","0.335","0.335","0.335"
"5212","0.347","0.347","0.347"
"5213","0.365","0.365","0.365"
"5214","0.357","0.357","0.357"
"5215","0.345","0.345","0.345"
"5216","0.378","0.378","0.378"
"5217","0.384","0.384","0.384"
"5218","0.36","0.36","0.36"
"5219","0.367","0.367","0.367"
"5220","0.363","0.363","0.363"
"5221","0.341","0.341","0.341"
"5222","0.354","0.354","0.354"
"5223","0.337","0.337","0.337"
"5224","0.352","0.352","0.352"
"5225","0.338","0.338","0.338"
"5226","0.344","0.344","0.344"
"5227","0.379","0.379","0.379"
"5228","0.349","0.349","0.349"
"5229","0.365","0.365","0.365"
"5230","0.366","0.366","0.366"
"5231","0.335","0.335","0.335"
"5232","0.347","0.347","0.347"
"5233","0.381","0.381","0.381"
"5234","0.372","0.372","0.372"
"5235","0.372","0.372","0.372"
"5236","0.383","0.383","0.383"
"5237","0.355","0.355","0.355"
"5238","0.34","0.34","0.34"
"5239","0.353","0.353","0.353"
"5240","0.381","0.381","0.381"
"5241","0.379","0.379","0.379"
"5242","0.366","0.366","0.366"
"5243","0.361","0.361","0.361"
"5244","0.363","0.363","0.363"
"5245","0.36","0.36","0.36"
"5246","0.362","0.362","0.362"
"5247","0.403","0.403","0.403"
"5248","0.431","0.431","0.431"
"5249","0.401","0.401","0.401"
"5250","0.365","0.365","0.365"
"5251","0.36","0.36","0.36"
"5252","0.363","0.363","0.363"
"5253","0.353","0.353","0.353"
"5254","0.335","0.335","0.335"
"5255","0.34","0.34","0.34"
"5256","0.337","0.337","0.337"
"5257","0.342","0.342","0.342"
"5258","0.343","0.343","0.343"
"5259","0.347","0.347","0.347"
"5260","0.368","0.368","0.368"
"5261","0.392","0.392","0.392"
"5262","0.357","0.357","0.357"
"5263","0.368","0.368","0.368"
"5264","0.396","0.396","0.396"
"5265","0.36","0.36","0.36"
"5266","0.368","0.368","0.368"
"5268","0.418","0.418","0.418"
"5269","0.416","0.416","0.416"
"5270","0.396","0.396","0.396"
"5271","0.38","0.38","0.38"
"5272","0.378","0.378","0.378"
"5273","0.38","0.38","0.38"
"5274","0.361","0.361","0.361"
"5275","0.368","0.368","0.368"
"5276","0.352","0.352","0.352"
"5277","0.365","0.365","0.365"
"5278","0.349","0.349","0.349"
"5279","0.347","0.347","0.347"
"5280","0.33","0.33","0.33"
"5281","0.347","0.347","0.347"
"5282","0.358","0.358","0.358"
"5283","0.327","0.327","0.327"
"5284","0.345","0.345","0.345"
"5285","0.339","0.339","0.339"
"5286","0.356","0.356","0.356"
"5287","0.35","0.35","0.35"
"5288","0.342","0.342","0.342"
"5289","0.336","0.336","0.336"
"5290","0.354","0.354","0.354"
"5291","0.345","0.345","0.345"
"5292","0.359","0.359","0.359"
"5293","0.378","0.378","0.378"
"5294","0.441","0.441","0.441"
"5295","0.401","0.401","0.401"
"5296","0.364","0.364","0.364"
"5297","0.386","0.386","0.386"
"5298","0.363","0.363","0.363"
"5299","0.375","0.375","0.375"
"5300","0.336","0.336","0.336"
"5301","0.357","0.357","0.357"
"5302","0.366","0.366","0.366"
"5303","0.381","0.381","0.381"
"5304","0.353","0.353","0.353"
"5305","0.364","0.364","0.364"
"5306","0.371","0.371","0.371"
"5307","0.354","0.354","0.354"
"5308","0.384","0.384","0.384"
"5309","0.384","0.384","0.384"
"5310","0.391","0.391","0.391"
"5311","0.382","0.382","0.382"
"5312","0.404","0.404","0.404"
"5313","0.392","0.392","0.392"
"5314","0.368","0.368","0.368"
"5315","0.359","0.359","0.359"
"5316","0.359","0.359","0.359"
"5317","0.355","0.355","0.355"
"5318","0.365","0.365","0.365"
"5319","0.352","0.352","0.352"
"5320","0.339","0.339","0.339"
"5321","0.337","0.337","0.337"
"5322","0.349","0.349","0.349"
"5323","0.335","0.335","0.335"
"5324","0.354","0.354","0.354"
"5325","0.358","0.358","0.358"
"5326","0.364","0.364","0.364"
"5327","0.375","0.375","0.375"
"5328","0.368","0.368","0.368"
"5329","0.346","0.346","0.346"
"5330","0.326","0.326","0.326"
"5331","0.337","0.337","0.337"
"5332","0.323","0.323","0.323"
"5333","0.328","0.328","0.328"
"5334","0.36","0.36","0.36"
"5335","0.356","0.356","0.356"
"5336","0.355","0.355","0.355"
"5337","0.338","0.338","0.338"
"5338","0.343","0.343","0.343"
"5339","0.338","0.338","0.338"
"5340","0.358","0.358","0.358"
"5341","0.37","0.37","0.37"
"5342","0.396","0.396","0.396"
"5343","0.369","0.369","0.369"
"5344","0.37","0.37","0.37"
"5345","0.352","0.352","0.352"
"5346","0.368","0.368","0.368"
"5347","0.367","0.367","0.367"
"5348","0.337","0.337","0.337"
"5349","0.347","0.347","0.347"
"5350","0.352","0.352","0.352"
"5351","0.375","0.375","0.375"
"5352","0.377","0.377","0.377"
"5353","0.378","0.378","0.378"
"5354","0.399","0.399","0.399"
"5355","0.407","0.407","0.407"
"5356","0.35","0.35","0.35"
"5357","0.349","0.349","0.349"
"5358","0.369","0.369","0.369"
"5359","0.354","0.354","0.354"
"5360","0.344","0.344","0.344"
"5361","0.356","0.356","0.356"
"5362","0.359","0.359","0.359"
"5363","0.37","0.37","0.37"
"5364","0.361","0.361","0.361"
"5365","0.364","0.364","0.364"
"5366","0.359","0.359","0.359"
"5367","0.352","0.352","0.352"
"5368","0.343","0.343","0.343"
"5369","0.321","0.321","0.321"
"5370","0.336","0.336","0.336"
"5371","0.348","0.348","0.348"
"5372","0.343","0.343","0.343"
"5373","0.367","0.367","0.367"
"5374","0.358","0.358","0.358"
"5375","0.337","0.337","0.337"
"5376","0.365","0.365","0.365"
"5377","0.344","0.344","0.344"
"5378","0.357","0.357","0.357"
"5379","0.368","0.368","0.368"
"5380","0.351","0.351","0.351"
"5381","0.383","0.383","0.383"
"5382","0.359","0.359","0.359"
"5383","0.39","0.39","0.39"
"5384","0.393","0.393","0.393"
"5385","0.371","0.371","0.371"
"5386","0.352","0.352","0.352"
"5387","0.367","0.367","0.367"
"5388","0.365","0.365","0.365"
"5389","0.381","0.381","0.381"
"5390","0.355","0.355","0.355"
"5391","0.359","0.359","0.359"
"5392","0.366","0.366","0.366"
"5393","0.346","0.346","0.346"
"5394","0.355","0.355","0.355"
"5395","0.337","0.337","0.337"
"5396","0.338","0.338","0.338"
"5397","0.354","0.354","0.354"
"5398","0.364","0.364","0.364"
"5399","0.365","0.365","0.365"
"5400","0.363","0.363","0.363"
"5401","0.349","0.349","0.349"
"5403","0.37","0.37","0.37"
"5404","0.338","0.338","0.338"
"5405","0.349","0.349","0.349"
"5406","0.322","0.322","0.322"
"5407","0.358","0.358","0.358"
"5408","0.352","0.352","0.352"
"5409","0.354","0.354","0.354"
"5410","0.36","0.36","0.36"
"5411","0.358","0.358","0.358"
"5412","0.343","0.343","0.343"
"5413","0.343","0.343","0.343"
"5414","0.364","0.364","0.364"
"5415","0.368","0.368","0.368"
"5416","0.363","0.363","0.363"
"5417","0.329","0.329","0.329"
"5418","0.376","0.376","0.376"
"5419","0.376","0.376","0.376"
"5420","0.37","0.37","0.37"
"5421","0.372","0.372","0.372"
"5422","0.395","0.395","0.395"
"5423","0.399","0.399","0.399"
"5424","0.36","0.36","0.36"
"5425","0.343","0.343","0.343"
"5426","0.38","0.38","0.38"
"5427","0.366","0.366","0.366"
"5428","0.362","0.362","0.362"
"5429","0.347","0.347","0.347"
"5430","0.351","0.351","0.351"
"5431","0.348","0.348","0.348"
"5432","0.332","0.332","0.332"
"5433","0.366","0.366","0.366"
"5434","0.381","0.381","0.381"
"5435","0.365","0.365","0.365"
"5436","0.363","0.363","0.363"
"5437","0.357","0.357","0.357"
"5438","0.35","0.35","0.35"
"5439","0.331","0.331","0.331"
"5440","0.338","0.338","0.338"
"5441","0.361","0.361","0.361"
"5442","0.366","0.366","0.366"
"5443","0.38","0.38","0.38"
"5444","0.39","0.39","0.39"
"5445","0.361","0.361","0.361"
"5446","0.375","0.375","0.375"
"5447","0.362","0.362","0.362"
"5448","0.332","0.332","0.332"
"5449","0.356","0.356","0.356"
"5450","0.329","0.329","0.329"
"5451","0.341","0.341","0.341"
"5452","0.339","0.339","0.339"
"5453","0.37","0.37","0.37"
"5454","0.331","0.331","0.331"
"5455","0.341","0.341","0.341"
"5456","0.339","0.339","0.339"
"5457","0.332","0.332","0.332"
"5458","0.347","0.347","0.347"
"5459","0.329","0.329","0.329"
"5460","0.341","0.341","0.341"
"5461","0.348","0.348","0.348"
"5462","0.325","0.325","0.325"
"5463","0.337","0.337","0.337"
"5464","0.377","0.377","0.377"
"5465","0.373","0.373","0.373"
"5466","0.401","0.401","0.401"
"5467","0.38","0.38","0.38"
"5468","0.368","0.368","0.368"
"5469","0.372","0.372","0.372"
"5470","0.373","0.373","0.373"
"5471","0.395","0.395","0.395"
"5472","0.433","0.433","0.433"
"5473","0.389","0.389","0.389"
"5474","0.356","0.356","0.356"
"5475","0.402","0.402","0.402"
"5476","0.354","0.354","0.354"
"5477","0.354","0.354","0.354"
"5478","0.354","0.354","0.354"
"5479","0.371","0.371","0.371"
"5480","0.352","0.352","0.352"
"5481","0.356","0.356","0.356"
"5482","0.356","0.356","0.356"
"5483","0.358","0.358","0.358"
"5484","0.372","0.372","0.372"
"5485","0.355","0.355","0.355"
"5486","0.362","0.362","0.362"
"5487","0.347","0.347","0.347"
"5488","0.357","0.357","0.357"
"5489","0.393","0.393","0.393"
"5490","0.394","0.394","0.394"
"5491","0.388","0.388","0.388"
"5492","0.408","0.408","0.408"
"5493","0.372","0.372","0.372"
"5494","0.377","0.377","0.377"
"5495","0.368","0.368","0.368"
"5496","0.357","0.357","0.357"
"5497","0.377","0.377","0.377"
"5498","0.38","0.38","0.38"
"5499","0.355","0.355","0.355"
"5500","0.345","0.345","0.345"
"5501","0.353","0.353","0.353"
"5502","0.332","0.332","0.332"
"5503","0.332","0.332","0.332"
"5504","0.344","0.344","0.344"
"5505","0.357","0.357","0.357"
"5506","0.374","0.374","0.374"
"5507","0.331","0.331","0.331"
"5508","0.355","0.355","0.355"
"5509","0.357","0.357","0.357"
"5510","0.36","0.36","0.36"
"5511","0.381","0.381","0.381"
"5512","0.345","0.345","0.345"
"5513","0.345","0.345","0.345"
"5514","0.365","0.365","0.365"
"5515","0.332","0.332","0.332"
"5516","0.367","0.367","0.367"
"5517","0.352","0.352","0.352"
"5518","0.347","0.347","0.347"
"5519","0.359","0.359","0.359"
"5520","0.358","0.358","0.358"
"5521","0.376","0.376","0.376"
"5522","0.352","0.352","0.352"
"5523","0.353","0.353","0.353"
"5524","0.348","0.348","0.348"
"5525","0.347","0.347","0.347"
"5526","0.361","0.361","0.361"
"5527","0.371","0.371","0.371"
"5528","0.379","0.379","0.379"
"5529","0.396","0.396","0.396"
"5530","0.393","0.393","0.393"
"5531","0.357","0.357","0.357"
"5532","0.358","0.358","0.358"
"5533","0.366","0.366","0.366"
"5534","0.334","0.334","0.334"
"5535","0.329","0.329","0.329"
"5536","0.347","0.347","0.347"
"5537","0.335","0.335","0.335"
"5538","0.326","0.326","0.326"
"5539","0.323","0.323","0.323"
"5540","0.332","0.332","0.332"
"5541","0.328","0.328","0.328"
"5542","0.332","0.332","0.332"
"5543","0.348","0.348","0.348"
"5544","0.351","0.351","0.351"
"5545","0.351","0.351","0.351"
"5546","0.333","0.333","0.333"
"5547","0.343","0.343","0.343"
"5548","0.342","0.342","0.342"
"5549","0.368","0.368","0.368"
"5550","0.386","0.386","0.386"
"5551","0.365","0.365","0.365"
"5552","0.353","0.353","0.353"
"5553","0.367","0.367","0.367"
"5554","0.384","0.384","0.384"
"5555","0.38","0.38","0.38"
"5556","0.369","0.369","0.369"
"5557","0.345","0.345","0.345"
"5558","0.356","0.356","0.356"
"5559","0.344","0.344","0.344"
"5560","0.343","0.343","0.343"
"5562","0.351","0.351","0.351"
"5563","0.354","0.354","0.354"
"5564","0.362","0.362","0.362"
"5565","0.367","0.367","0.367"
"5566","0.367","0.367","0.367"
"5567","0.368","0.368","0.368"
"5568","0.36","0.36","0.36"
"5569","0.362","0.362","0.362"
"5570","0.348","0.348","0.348"
"5571","0.357","0.357","0.357"
"5572","0.359","0.359","0.359"
"5573","0.367","0.367","0.367"
"5574","0.376","0.376","0.376"
"5575","0.394","0.394","0.394"
"5576","0.38","0.38","0.38"
"5577","0.336","0.336","0.336"
"5578","0.335","0.335","0.335"
"5579","0.35","0.35","0.35"
"5580","0.341","0.341","0.341"
"5581","0.333","0.333","0.333"
"5582","0.321","0.321","0.321"
"5583","0.325","0.325","0.325"
"5584","0.342","0.342","0.342"
"5585","0.366","0.366","0.366"
"5586","0.363","0.363","0.363"
"5587","0.355","0.355","0.355"
"5588","0.345","0.345","0.345"
"5589","0.355","0.355","0.355"
"5590","0.363","0.363","0.363"
"5591","0.346","0.346","0.346"
"5592","0.332","0.332","0.332"
"5593","0.349","0.349","0.349"
"5594","0.377","0.377","0.377"
"5595","0.349","0.349","0.349"
"5596","0.387","0.387","0.387"
"5597","0.387","0.387","0.387"
"5598","0.374","0.374","0.374"
"5599","0.388","0.388","0.388"
"5600","0.366","0.366","0.366"
"5601","0.35","0.35","0.35"
"5602","0.344","0.344","0.344"
"5603","0.352","0.352","0.352"
"5604","0.348","0.348","0.348"
"5605","0.338","0.338","0.338"
"5606","0.36","0.36","0.36"
"5607","0.371","0.371","0.371"
"5608","0.356","0.356","0.356"
"5609","0.341","0.341","0.341"
"5610","0.336","0.336","0.336"
"5611","0.353","0.353","0.353"
"5612","0.388","0.388","0.388"
"5613","0.422","0.422","0.422"
"5614","0.389","0.389","0.389"
"5615","0.368","0.368","0.368"
"5616","0.351","0.351","0.351"
"5617","0.349","0.349","0.349"
"5618","0.349","0.349","0.349"
"5619","0.352","0.352","0.352"
"5620","0.409","0.409","0.409"
"5621","0.421","0.421","0.421"
"5622","0.406","0.406","0.406"
"5623","0.387","0.387","0.387"
"5624","0.368","0.368","0.368"
"5625","0.371","0.371","0.371"
"5626","0.372","0.372","0.372"
"5627","0.359","0.359","0.359"
"5628","0.364","0.364","0.364"
"5629","0.387","0.387","0.387"
"5630","0.386","0.386","0.386"
"5631","0.346","0.346","0.346"
"5632","0.356","0.356","0.356"
"5633","0.343","0.343","0.343"
"5634","0.345","0.345","0.345"
"5635","0.336","0.336","0.336"
"5636","0.343","0.343","0.343"
"5637","0.346","0.346","0.346"
"5638","0.342","0.342","0.342"
"5639","0.334","0.334","0.334"
"5640","0.329","0.329","0.329"
"5641","0.34","0.34","0.34"
"5642","0.356","0.356","0.356"
"5643","0.35","0.35","0.35"
"5644","0.357","0.357","0.357"
"5645","0.351","0.351","0.351"
"5646","0.355","0.355","0.355"
"5647","0.351","0.351","0.351"
"5648","0.343","0.343","0.343"
"5649","0.357","0.357","0.357"
"5650","0.366","0.366","0.366"
"5651","0.348","0.348","0.348"
"5652","0.353","0.353","0.353"
"5653","0.346","0.346","0.346"
"5654","0.379","0.379","0.379"
"5655","0.403","0.403","0.403"
"5656","0.384","0.384","0.384"
"5657","0.339","0.339","0.339"
"5658","0.34","0.34","0.34"
"5659","0.339","0.339","0.339"
"5660","0.326","0.326","0.326"
"5661","0.33","0.33","0.33"
"5662","0.331","0.331","0.331"
"5663","0.33","0.33","0.33"
"5664","0.327","0.327","0.327"
"5665","0.348","0.348","0.348"
"5666","0.358","0.358","0.358"
"5667","0.359","0.359","0.359"
"5668","0.352","0.352","0.352"
"5669","0.338","0.338","0.338"
"5670","0.348","0.348","0.348"
"5671","0.349","0.349","0.349"
"5672","0.356","0.356","0.356"
"5673","0.355","0.355","0.355"
"5674","0.361","0.361","0.361"
"5675","0.351","0.351","0.351"
"5676","0.345","0.345","0.345"
"5677","0.344","0.344","0.344"
"5678","0.354","0.354","0.354"
"5679","0.368","0.368","0.368"
"5680","0.371","0.371","0.371"
"5681","0.341","0.341","0.341"
"5682","0.357","0.357","0.357"
"5683","0.37","0.37","0.37"
"5684","0.353","0.353","0.353"
"5685","0.339","0.339","0.339"
"5686","0.367","0.367","0.367"
"5687","0.371","0.371","0.371"
"5688","0.377","0.377","0.377"
"5689","0.364","0.364","0.364"
"5690","0.373","0.373","0.373"
"5691","0.392","0.392","0.392"
"5692","0.417","0.417","0.417"
"5693","0.405","0.405","0.405"
"5694","0.365","0.365","0.365"
"5695","0.369","0.369","0.369"
"5696","0.367","0.367","0.367"
"5697","0.399","0.399","0.399"
"5698","0.375","0.375","0.375"
"5699","0.343","0.343","0.343"
"5700","0.344","0.344","0.344"
"5701","0.331","0.331","0.331"
"5702","0.347","0.347","0.347"
"5703","0.335","0.335","0.335"
"5704","0.344","0.344","0.344"
"5705","0.347","0.347","0.347"
"5706","0.341","0.341","0.341"
"5707","0.342","0.342","0.342"
"5708","0.337","0.337","0.337"
"5709","0.334","0.334","0.334"
"5710","0.346","0.346","0.346"
"5711","0.365","0.365","0.365"
"5712","0.367","0.367","0.367"
"5713","0.395","0.395","0.395"
"5714","0.371","0.371","0.371"
"5715","0.362","0.362","0.362"
"5716","0.353","0.353","0.353"
"5717","0.375","0.375","0.375"
"5718","0.381","0.381","0.381"
"5719","0.355","0.355","0.355"
"5720","0.353","0.353","0.353"
"5721","0.353","0.353","0.353"
"5722","0.34","0.34","0.34"
"5723","0.368","0.368","0.368"
"5724","0.406","0.406","0.406"
"5725","0.398","0.398","0.398"
"5726","0.364","0.364","0.364"
"5727","0.372","0.372","0.372"
"5728","0.358","0.358","0.358"
"5729","0.355","0.355","0.355"
"5730","0.335","0.335","0.335"
"5731","0.343","0.343","0.343"
"5732","0.348","0.348","0.348"
"5733","0.358","0.358","0.358"
"5734","0.329","0.329","0.329"
"5735","0.363","0.363","0.363"
"5736","0.367","0.367","0.367"
"5737","0.338","0.338","0.338"
"5738","0.358","0.358","0.358"
"5739","0.372","0.372","0.372"
"5740","0.39","0.39","0.39"
"5741","0.362","0.362","0.362"
"5742","0.367","0.367","0.367"
"5743","0.367","0.367","0.367"
"5744","0.329","0.329","0.329"
"5745","0.363","0.363","0.363"
"5746","0.35","0.35","0.35"
"5747","0.333","0.333","0.333"
"5748","0.346","0.346","0.346"
"5749","0.353","0.353","0.353"
"5750","0.388","0.388","0.388"
"5751","0.388","0.388","0.388"
"5752","0.387","0.387","0.387"
"5753","0.351","0.351","0.351"
"5754","0.352","0.352","0.352"
"5755","0.347","0.347","0.347"
"5756","0.359","0.359","0.359"
"5758","0.393","0.393","0.393"
"5759","0.374","0.374","0.374"
"5760","0.351","0.351","0.351"
"5761","0.346","0.346","0.346"
"5762","0.357","0.357","0.357"
"5763","0.392","0.392","0.392"
"5764","0.392","0.392","0.392"
"5765","0.389","0.389","0.389"
"5766","0.359","0.359","0.359"
"5767","0.352","0.352","0.352"
"5768","0.356","0.356","0.356"
"5769","0.352","0.352","0.352"
"5770","0.347","0.347","0.347"
"5771","0.364","0.364","0.364"
"5772","0.365","0.365","0.365"
"5773","0.355","0.355","0.355"
"5774","0.347","0.347","0.347"
"5775","0.363","0.363","0.363"
"5776","0.375","0.375","0.375"
"5777","0.349","0.349","0.349"
"5778","0.326","0.326","0.326"
"5779","0.341","0.341","0.341"
"5780","0.34","0.34","0.34"
"5781","0.352","0.352","0.352"
"5782","0.361","0.361","0.361"
"5783","0.374","0.374","0.374"
"5784","0.364","0.364","0.364"
"5785","0.371","0.371","0.371"
"5786","0.368","0.368","0.368"
"5787","0.352","0.352","0.352"
"5788","0.363","0.363","0.363"
"5789","0.377","0.377","0.377"
"5790","0.354","0.354","0.354"
"5791","0.347","0.347","0.347"
"5792","0.32","0.32","0.32"
"5793","0.343","0.343","0.343"
"5794","0.366","0.366","0.366"
"5795","0.347","0.347","0.347"
"5796","0.361","0.361","0.361"
"5797","0.364","0.364","0.364"
"5798","0.359","0.359","0.359"
"5799","0.379","0.379","0.379"
"5800","0.362","0.362","0.362"
"5801","0.351","0.351","0.351"
"5802","0.352","0.352","0.352"
"5803","0.36","0.36","0.36"
"5804","0.367","0.367","0.367"
"5805","0.344","0.344","0.344"
"5806","0.343","0.343","0.343"
"5807","0.358","0.358","0.358"
"5808","0.357","0.357","0.357"
"5809","0.403","0.403","0.403"
"5810","0.408","0.408","0.408"
"5811","0.36","0.36","0.36"
"5812","0.329","0.329","0.329"
"5813","0.333","0.333","0.333"
"5814","0.355","0.355","0.355"
"5815","0.375","0.375","0.375"
"5816","0.359","0.359","0.359"
"5817","0.366","0.366","0.366"
"5818","0.352","0.352","0.352"
"5819","0.352","0.352","0.352"
"5820","0.33","0.33","0.33"
"5821","0.355","0.355","0.355"
"5822","0.355","0.355","0.355"
"5823","0.353","0.353","0.353"
"5824","0.355","0.355","0.355"
"5825","0.356","0.356","0.356"
"5826","0.37","0.37","0.37"
"5827","0.386","0.386","0.386"
"5828","0.375","0.375","0.375"
"5829","0.348","0.348","0.348"
"5830","0.345","0.345","0.345"
"5831","0.357","0.357","0.357"
"5832","0.391","0.391","0.391"
"5833","0.402","0.402","0.402"
"5834","0.354","0.354","0.354"
"5835","0.367","0.367","0.367"
"5836","0.382","0.382","0.382"
"5837","0.343","0.343","0.343"
"5838","0.352","0.352","0.352"
"5839","0.392","0.392","0.392"
"5840","0.411","0.411","0.411"
"5841","0.429","0.429","0.429"
"5842","0.406","0.406","0.406"
"5843","0.34","0.34","0.34"
"5844","0.358","0.358","0.358"
"5845","0.35","0.35","0.35"
"5846","0.338","0.338","0.338"
"5847","0.358","0.358","0.358"
"5848","0.35","0.35","0.35"
"5849","0.346","0.346","0.346"
"5850","0.348","0.348","0.348"
"5851","0.346","0.346","0.346"
"5852","0.361","0.361","0.361"
"5853","0.335","0.335","0.335"
"5854","0.337","0.337","0.337"
"5855","0.361","0.361","0.361"
"5856","0.367","0.367","0.367"
"5857","0.353","0.353","0.353"
"5858","0.331","0.331","0.331"
"5859","0.36","0.36","0.36"
"5860","0.357","0.357","0.357"
"5861","0.351","0.351","0.351"
"5862","0.364","0.364","0.364"
"5863","0.34","0.34","0.34"
"5864","0.368","0.368","0.368"
"5865","0.337","0.337","0.337"
"5866","0.351","0.351","0.351"
"5867","0.356","0.356","0.356"
"5868","0.367","0.367","0.367"
"5869","0.36","0.36","0.36"
"5870","0.355","0.355","0.355"
"5871","0.345","0.345","0.345"
"5872","0.351","0.351","0.351"
"5873","0.382","0.382","0.382"
"5874","0.391","0.391","0.391"
"5875","0.338","0.338","0.338"
"5876","0.348","0.348","0.348"
"5877","0.353","0.353","0.353"
"5878","0.335","0.335","0.335"
"5879","0.355","0.355","0.355"
"5880","0.342","0.342","0.342"
"5881","0.335","0.335","0.335"
"5882","0.354","0.354","0.354"
"5883","0.343","0.343","0.343"
"5884","0.351","0.351","0.351"
"5885","0.347","0.347","0.347"
"5886","0.326","0.326","0.326"
"5887","0.338","0.338","0.338"
"5888","0.346","0.346","0.346"
"5889","0.358","0.358","0.358"
"5890","0.38","0.38","0.38"
"5891","0.375","0.375","0.375"
"5892","0.378","0.378","0.378"
"5893","0.393","0.393","0.393"
"5894","0.362","0.362","0.362"
"5895","0.35","0.35","0.35"
"5896","0.359","0.359","0.359"
"5897","0.356","0.356","0.356"
"5898","0.375","0.375","0.375"
"5899","0.393","0.393","0.393"
"5900","0.368","0.368","0.368"
"5901","0.365","0.365","0.365"
"5902","0.363","0.363","0.363"
"5903","0.382","0.382","0.382"
"5904","0.381","0.381","0.381"
"5905","0.351","0.351","0.351"
"5906","0.338","0.338","0.338"
"5907","0.325","0.325","0.325"
"5908","0.33","0.33","0.33"
"5909","0.353","0.353","0.353"
"5910","0.33","0.33","0.33"
"5911","0.348","0.348","0.348"
"5912","0.371","0.371","0.371"
"5913","0.348","0.348","0.348"
"5914","0.358","0.358","0.358"
"5915","0.368","0.368","0.368"
"5916","0.369","0.369","0.369"
"5917","0.343","0.343","0.343"
"5918","0.369","0.369","0.369"
"5919","0.363","0.363","0.363"
"5920","0.351","0.351","0.351"
"5921","0.363","0.363","0.363"
"5922","0.374","0.374","0.374"
"5923","0.358","0.358","0.358"
"5924","0.344","0.344","0.344"
"5925","0.351","0.351","0.351"
"5926","0.35","0.35","0.35"
"5927","0.357","0.357","0.357"
"5928","0.366","0.366","0.366"
"5929","0.353","0.353","0.353"
"5930","0.348","0.348","0.348"
"5931","0.36","0.36","0.36"
"5932","0.355","0.355","0.355"
"5933","0.37","0.37","0.37"
"5934","0.372","0.372","0.372"
"5935","0.357","0.357","0.357"
"5936","0.366","0.366","0.366"
"5937","0.375","0.375","0.375"
"5938","0.371","0.371","0.371"
"5939","0.372","0.372","0.372"
"5940","0.353","0.353","0.353"
"5941","0.371","0.371","0.371"
"5942","0.372","0.372","0.372"
"5943","0.374","0.374","0.374"
"5944","0.387","0.387","0.387"
"5945","0.357","0.357","0.357"
"5946","0.347","0.347","0.347"
"5947","0.34","0.34","0.34"
"5948","0.362","0.362","0.362"
"5949","0.366","0.366","0.366"
"5950","0.377","0.377","0.377"
"5951","0.345","0.345","0.345"
"5952","0.358","0.358","0.358"
"5953","0.367","0.367","0.367"
"5954","0.368","0.368","0.368"
"5955","0.356","0.356","0.356"
"5956","0.355","0.355","0.355"
"5957","0.378","0.378","0.378"
"5958","0.38","0.38","0.38"
"5959","0.355","0.355","0.355"
"5960","0.372","0.372","0.372"
"5961","0.355","0.355","0.355"
"5962","0.356","0.356","0.356"
"5964","0.369","0.369","0.369"
"5965","0.363","0.363","0.363"
"5966","0.38","0.38","0.38"
"5967","0.357","0.357","0.357"
"5968","0.349","0.349","0.349"
"5969","0.353","0.353","0.353"
"5970","0.342","0.342","0.342"
